Lemma,Rank,SFI,U
after,157,69.46,882.93
always,146,67.79,601.38
school,147,68.15,653.44
ask,140,68.78,754.37
question,141,69.35,861.46
also,142,70.61,1151.51
different,143,68.53,712.54
sure,144,67.82,604.90
long,145,68.69,739.85
again,134,68.46,700.88
problem,135,68.92,779.01
never,136,68.20,660.35
same,137,68.44,697.62
big,138,69.18,828.24
feel,139,69.18,828.73
through,128,69.41,872.25
point,129,69.35,861.68
anything,130,67.28,534.50
laughter,131,62.08,161.46
week,132,69.00,794.17
before,133,69.09,811.75
still,123,69.51,892.29
find,124,69.92,981.61
probably,125,67.57,572.06
even,126,69.99,997.41
might,127,68.36,685.22
last,120,70.02,1004.44
start,121,69.36,863.30
quite,122,67.07,509.75
let,117,69.94,986.75
call,118,71.06,1276.60
four,119,67.83,606.72
five,116,67.50,562.12
first,113,70.90,1229.54
than,114,71.02,1265.58
too,115,69.00,795.11
off,112,69.20,831.66
try,109,70.58,1143.61
why,110,69.84,963.02
okay,111,66.45,441.95
bit,108,68.17,656.16
should,103,70.03,1006.37
over,104,71.15,1303.89
little,105,69.91,979.22
day,106,70.98,1254.33
into,107,71.26,1336.88
only,102,70.30,1070.69
kind,100,70.98,1253.04
tell,101,70.70,1174.38
talk,99,72.17,1647.55
need,98,70.64,1157.93
much,96,71.91,1550.87
actually,97,70.15,1035.68
three,95,69.95,988.88
sort,94,69.89,975.83
give,93,71.08,1282.80
down,92,70.69,1171.37
any,88,71.03,1266.46
lot,89,72.06,1607.02
way,90,72.25,1679.82
put,91,70.45,1108.95
by,87,73.71,2351.36
how,84,72.23,1669.39
back,85,71.94,1562.14
year,86,73.39,2183.84
where,81,72.04,1600.35
use,82,71.30,1349.49
something,83,71.19,1314.62
other,79,72.85,1927.94
laugh,80,66.33,429.52
who,78,74.52,2828.51
work,76,72.31,1702.31
more,77,73.91,2462.78
could,75,72.29,1692.45
which,74,72.78,1895.91
take,72,73.24,2110.76
here,73,72.93,1962.44
two,71,72.00,1583.73
make,69,73.88,2442.42
look,70,72.75,1882.70
yeah,68,68.53,713.64
very,67,74.19,2624.72
people,66,75.33,3415.01
time,65,73.79,2391.39
from,64,75.75,3759.43
some,62,74.26,2666.38
good,63,73.39,2180.90
now,61,74.40,2751.82
want,59,73.76,2375.40
come,60,74.05,2542.30
really,58,73.63,2308.57
yes,56,71.82,1521.78
